"instance","ea-restart","ea-violation","ea-sparingly","vns-restart","vns-violation","vns-sparingly","gsr-restart","gsr-violation","gsr-sparingly","opt","initialSolution","timeMeasure","dynamicFrequency","dynamicChangeType","dynamicIntensity","instanceSet"
"LGF-hk48-gen4-80.oplib-9169-greedy-bitVector-L5-absolute-C50-budget",0.934010318142734,0.935006878761823,0.935448495270851,0.925764574376612,0.936088048151333,0.934766294067068,0.900871711092003,0.928005159071367,0.92710524505589,250,"greedy","bitVector","L5","absolute","C50","oplib"
"LGF-hk48-gen4-80.oplib-9169-greedy-bitVector-L5-relative-C10-budget",0.852983490971625,0.854439896818573,0.853651418744626,0.842732588134136,0.857059845227859,0.856235769561479,0.841853310404127,0.849831298366294,0.851491487532244,250,"greedy","bitVector","L5","relative","C10","oplib"
"LGF-hk48-gen4-80.oplib-9169-greedy-bitVector-L5-relative-C25-budget",0.762790713671539,0.768144797936372,0.766721238177128,0.741711607910576,0.770903353396389,0.767019604471195,0.738594153052451,0.737241100601892,0.765299054170249,250,"greedy","bitVector","L5","relative","C25","oplib"
"LGF-hk48-gen4-80.oplib-9169-greedy-bitVector-L5-relative-C5-budget",0.870864316423044,0.867869475494411,0.86844969905417,0.859835769561479,0.872896130696475,0.873047291487532,0.856577815993121,0.863862252794497,0.866150816852966,250,"greedy","bitVector","L5","relative","C5","oplib"
"LGF-hk48-gen4-80.oplib-9169-greedy-bitVector-L5-relative-C50-budget",0.665352020636285,0.662707824591574,0.66161203783319,0.659369045571797,0.66120739466896,0.658325021496131,0.643419088564058,0.626148237317283,0.648945829750645,250,"greedy","bitVector","L5","relative","C50","oplib"
"LGF-hk48-gen4-80.oplib-9169-greedy-bitVector-L50-absolute-C10-budget",0.753625967325881,0.77547532244196,0.768598624247635,0.640017368873603,0.767622871883061,0.760410662080825,0.697531900257954,0.752513499570077,0.763171969045572,250,"greedy","bitVector","L50","absolute","C10","oplib"
"LGF-hk48-gen4-80.oplib-9169-greedy-bitVector-L50-absolute-C25-budget",0.795714359415305,0.816391229578676,0.816582115219261,0.682738607050731,0.803993637145314,0.794179535683577,0.743272914875322,0.788927429062769,0.775024591573517,250,"greedy","bitVector","L50","absolute","C25","oplib"
"LGF-hk48-gen4-80.oplib-9169-greedy-bitVector-L50-absolute-C5-budget",0.770739466895959,0.794753568357696,0.793880309544282,0.690423559759243,0.793272570937231,0.792770765262253,0.742104385210662,0.802978159931212,0.79422562338779,250,"greedy","bitVector","L50","absolute","C5","oplib"
"LGF-hk48-gen4-80.oplib-9169-greedy-bitVector-L50-absolute-C50-budget",0.368923129836629,0.375713843508168,0.374979363714531,0.311759931212382,0.328869475494411,0.318223903697334,0.341858469475494,0.350155288048151,0.34390524505589,250,"greedy","bitVector","L50","absolute","C50","oplib"
"LGF-hk48-gen4-80.oplib-9169-greedy-bitVector-L50-relative-C10-budget",0.848878589853826,0.865413069647464,0.857164574376612,0.722830782459157,0.85965124677558,0.847294239036973,0.804948409286328,0.849780223559759,0.849042820292347,250,"greedy","bitVector","L50","relative","C10","oplib"
"LGF-hk48-gen4-80.oplib-9169-greedy-bitVector-L50-relative-C25-budget",0.120909372312984,0.124706620808254,0.124101117798796,0.109692003439381,0.119077214101462,0.118249011177988,0.123464316423044,0.125632330180567,0.123452622527945,250,"greedy","bitVector","L50","relative","C25","oplib"
"LGF-hk48-gen4-80.oplib-9169-greedy-bitVector-L50-relative-C5-budget",0.777466895958728,0.799032502149613,0.804694582975064,0.641675494411006,0.801032502149613,0.800709200343938,0.736246947549441,0.806910748065348,0.816464144453998,250,"greedy","bitVector","L50","relative","C5","oplib"
