instance,ea,vns,gsr,opt
LGF-Berlin-150-80000-1-random2-bitVector-high,0.223507002898197,0.246996668246299,0.198348689506408,250
LGF-Berlin-150-80000-1-random2-bitVector-low,0.225080907069764,0.251290645077129,0.19477295808872,250
LGF-Berlin-150-80000-2-ea-bitVector-high,0.239373951543909,0.241489387448789,0.23682358151064,250
LGF-Berlin-150-80000-2-ea-bitVector-low,0.224874581111771,0.221189032827077,0.226448459315229,250
LGF-Berlin-150-80000-2-greedy-bitVector-high,0.226984997719893,0.240458849480666,0.23074644628915,250
LGF-Berlin-150-80000-2-greedy-bitVector-low,0.206393584888176,0.221410786290586,0.21925791851935,250
LGF-Berlin-150-80000-2-gsr-bitVector-high,0.230553073140942,0.239768288378783,0.221665207724037,250
LGF-Berlin-150-80000-2-gsr-bitVector-low,0.207436287048235,0.22323481809107,0.195605711682313,250
LGF-Berlin-150-80000-2-random1-bitVector-high,0.227560635317982,0.24011704879242,0.213693195492088,250
LGF-Berlin-150-80000-2-random1-bitVector-low,0.207383425945618,0.220511598033449,0.196083068928567,250
LGF-Berlin-150-80000-2-random2-bitVector-high,0.230911876299984,0.240864215049966,0.187048755795826,250
LGF-Berlin-150-80000-2-random2-bitVector-low,0.219517695599045,0.223328346585976,0.197331758275352,250
LGF-Berlin-150-80000-3-ea-bitVector-high,0.245977983040616,0.253213699045873,0.239347925951915,250
LGF-Berlin-150-80000-3-ea-bitVector-low,0.246756684542343,0.250875236719878,0.237071929791312,250
LGF-Berlin-150-80000-3-greedy-bitVector-high,0.246055905463547,0.25277216149178,0.219421165469364,250
LGF-Berlin-150-80000-3-greedy-bitVector-low,0.246899505864092,0.249975562148108,0.224613025498335,250
LGF-Berlin-150-80000-3-gsr-bitVector-high,0.249924682359896,0.253240454721838,0.250648923912874,250
LGF-Berlin-150-80000-3-gsr-bitVector-low,0.258476999915672,0.253683206727024,0.257061883518666,250
LGF-Berlin-150-80000-3-random1-bitVector-high,0.243286659562271,0.252398970770812,0.23329937218048,250
LGF-Berlin-150-80000-3-random1-bitVector-low,0.241352037191137,0.251036690226546,0.226377126447094,250
LGF-Berlin-150-80000-3-random2-bitVector-high,0.242723097645362,0.252360824715282,0.217529504788323,250
LGF-Berlin-150-80000-3-random2-bitVector-low,0.241319361090617,0.250993603062763,0.220334208434194,250
LGF-Berlin-50-80000-1-ea-bitVector-high,0.30049025765808,0.299925318558318,0.295487007125668,250
LGF-Berlin-50-80000-1-ea-bitVector-low,0.273035075808411,0.274637384255805,0.274946512329184,250
